referenceCode,fullCitation,referenceDOI
Kramp1961,Kramp PL. 1961. Synopsis of the Medusae of the World. J. Mar. Biol. Assoc. United Kingdom. 40:7–382,
Kremer1975,"Kremer, P. (1975) Excretion and body composition of the ctenophore Mnemiopsis leidyi (A. Agassiz): comparisons and consequences. 10th European Symposium on Marine Biology. 2: 351-362",
Kremer1976,"Kremer, P. 1976. The ecology of the ctenophore Mnemiopsis leidyi in Narragansett Bay. Ph.D. thesis, Univ. of Rhode Island.",
Kremer1976b,"Kremer, P., 1976. Excretion and body composition of the ctenophore Mnemiopsis leidyi (A. Agassiz): Comparisons and consequences. In: 10th European Symposium on Marine Biology, Ostend, Belgium, 17–23 September, 2: 351–362.",
Kremer1977,"Kremer, P. 1977. Respiration and excretion by the ctenophore Mnemiopsis leidyi. Marine Biology 44: 43-50.",
Kremer1982,,
Kremer1986,"Kremer, P., Canino, M.F., Gilmer, R.W. (1986) Metabolism of epipelagic tropical ctenophores. Mar Biol 90: 403-413",
Kremer1986a,,
Kremer1986b,,
Kremer1989,"Kremer, P., Reeve, M.R. (1989) Growth dynamics of a ctenophore (Mnemiopsis) in relation to variable food supply II. Carbon budgets and growth model. JPR 11 3 553-574",
Kremer1990,,
Kremer2005,,
Krishnamurti1967,"Krishnamurti, K. 1967. Nitrogen and phosphorus in plankton . Hydrobioiogia ",
Krishnaswami1985,"Krishnaswami, S., M. Baskaran, S. W. Fowler & M. Heyraud, 1985. Comparative role of salps and other zooplankton in the cycling and transport of selected elements and natural radionuclides in Mediterranean waters. Biochemistry 1: 353–360.",
Kruse2010,"Kruse, S., W. Hagen, and U. Bathmann. 2010. Feeding ecology and energetics of the Antarctic chaetognaths Eukrohnia hamata, E. bathypelagica and E. bathyantarctica. Mar. Biol. 157: 2289–2302. ",
Kuhlmann1981,"Kuhlmann, Dirk; Quantz, Gerrit; Witt, Ulrich (2014): Growth rate of Scophthalmus maximus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834470",10.1594/PANGAEA.834470
Kuznetsova1980,Kuznetsova NA (1980) The state of reproductive systems in some mass euphausiid species of the Kuroshio area in different seasons. Izv TINRO 104: 64–69. (in Russian),
Kuznetsova1980; Kuznetsova1994,,
Kuznetsova1994,"Kuznetsova NA (1994) Some biological features of Thysanoessa inspinata (Nemoto, 1963) in subarctic waters of the Northwest Pacific. Izv TINRO 116: 199–205. (in Russian)",
LaRow1975,"LaRow, E. J., Wilkinson J. W., and K. D. Kumar. 1975. The effect of food concentration and temperature on respiration and excretion in herbivorous zooplankton. Verhandlungen der Internationale Vereinigung f�r Theoretische und Angewandte Limnologie",
Laakmann2009a,"Laakmann, S., Kochzius, M., & Auel, H. (2009). Ecological niches of Arctic deep-sea copepods: Vertical partitioning, dietary preferences and different trophic levels minimize inter-specific competition. Deep Sea Research Part I: Oceanographic Research Papers, 56(5), 741-756. ",https://doi.org/10.1016/j.dsr.2008.12.017
Laakmann2009b,"Laakmann, S., Stumpp, M., & Auel, H. (2009). Vertical distribution and dietary preferences of deep-sea copepods (Euchaetidae and Aetideidae; Calanoida) in the vicinity of the Antarctic Polar Front. Polar Biology, 32(5), 679-689. ",10.1007/s00300-008-0573-2
Laakmann2012,"Laakmann, S., Auel, H., & Kochzius, M. (2012). Evolution in the deep sea: Biological traits, ecology and phylogenetics of pelagic copepods. Molecular Phylogenetics and Evolution, 65(2), 535-546. ",https://doi.org/10.1016/j.ympev.2012.07.007
Lalli1970,,
Lalli1972,,
Lalli1989,"Lalli, C.M. and Gilmer, R.W. 1989. Pelagic Snails: The Biology of Holoplanktonic Gastropod Mollusks. Stanford University Press, Stanford, California.",
LalliNA,,
LalliUnpub,,
Lamarra1975,Lamarra VAJ (1975) Digestive activities of carp as a major contributor to the nutrient loading of lakes. Verh. Int. Verein. Limnol. 19:2461–68.,
Lamb1986,"Lamb, A.; Edgell, P. (1986). Coastal fishes of the Pacific northwest. Harbour Publishing Co. Ltd., B.C., Canada. 224 p.",
Lampitt1978,"Lampitt, Richard Stephen (2014): Maximum ingestion and maximum clearance rate of Oithona nana determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834866",10.1594/PANGAEA.834866
Landry1981,"Landry, M.R. (1981) Switching between herbivory and carnivory by the planktonic marine copepod Calanus pacificus. Marine Biol. 65, 77-82.",
Landry1985a,"Landry M., Lehner-Fournier J. and Fagerness V. (1985) Predatory feeding behavior of the marine cyclopoid copepod Corycaeus anglicus. Marine Biology, 85(2), 163-169.",
Landry1985b,"Landry, M R; Lehner-Fournier, J M; Fagerness, V L (2014): Maximum ingestion and maximum clearance rate of Corycaeus anglicus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834867",10.1594/PANGAEA.834867
Langeland1985,"Langeland, A., Koksvik, J. I., and Y. Olsen. 1985. Post-embryonic development and growth rates of Daphnia pulex and Daphnia galeata under natural food conditions. Verhandlungen der Internationalen Vereinigung fur Theoretische und Angewandte Limnologie",
Laptikhovsky1999,"Laptikhovsky V V., Nigmatullin CM. 1999. Egg size and fecundity in females of the subfamilies odaropsinae and T odarodinae ( Cephalopoda : Ommastrephidae ). J. Mar. Biol. assessement. 79:569–70",
Laptikhovsky2007,"Laptikhovsky V V., Arkhipkin a. I, Hoving HJT. 2007. Reproductive biology in two species of deep-sea squids. Mar. Biol. 152(4):981–90",
Larson1976,,
Larson1986a,Larson RJ. 1986. Pelagic Scyphomedusae (Scyphozoa: Coronatae and Semaeostomeae) of the Southern Ocean,
Larson1986b,"Larson, R.J., 1986. Water content, organic content, and carbon and nitrogen composition of medusae from the northeast Pacific. Journal of experimental marine biology and ecology, 99(2), pp.107-120.",10.1016/0022-0981(86)90231-5
Larson1987a,"Larson, R.J., 1987. Trophic ecology of planktonic gelatinous predators in Saanich Inlet, British Columbia: diets and prey selection. Journal of Plankton Research, 9(5), pp.811-820.",
Larson1987b,"Larson, R.J. 1987. A note on the feeding, growth and reproduction of the epipelagic scyphomedusa Pelagia noctiluca (Forskal). Biological Oceanography, 4(4), 447-454.",
Larson1987c,"Larson, R.J. 1987. Respiration and carbon turnover rates of medusae from the NE Pacific. Comparative Biochemistry and Physiology 87A: 93-100.",
Larson1989,"Larson, R.J., Mills, C.E., and Harbison, G.R. 1989. In situ foraging and feeding behaviour of narcomedusae (Cnidaria, Hydrozoa). Journal of the Marine Biological Association of the United Kingdom, 69, 785-794.",
Lasker1966,"Lasker, R. 1966. Feeding, growth, respiration and carbon utilization of a Euphausiid crustacean. Journal of the Fisheries Research Board of Canada 23: 1291-1317.",
Lasker1966a,"Lasker, Reuben (2014): Growth rate of Euphausia pacifica determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834472",10.1594/PANGAEA.834472
Lasker1966b,"Lasker R (1966) Feeding, growth, respiration and carbon utilization of a Euphausiid crustacean. J Fish Res Bd Canada 23: 1291-1317",
Laurence1975,"Laurence, G C (2014): Growth rate of Pseudopleuronectes americanus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834473",10.1594/PANGAEA.834473
Laurence1978,"Laurence, G C (2014): Growth rate of Gadus morhua and Melanogrammus aeglefinus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834474",10.1594/PANGAEA.834474
Lauritsen1989,"Lauritsen DD, Mozley SC (1989) Nutrient excretion by the asiatic clam Corbicula fluminea. J. N. Am. Benthol. Soc. 8:134-139.",
Laval1992,"Laval P., Braconnot, J.C. and Linds da Silva, N. 1992. Deep planktonic filter-feeders found in the aphotic zone with the 'Cyana' submersible in the Ligurian Sea (NW Mediterranean). Marine Ecology Progress Series, 79, 235-241.",
Lawson1998,"Lawson, J.W., Magalhães, A.M. and Miller, E.H., 1998. Important prey species of marine vertebrate predators in the northwest Atlantic: proximate composition and energy density. Marine Ecology Progress Series, 164, pp.13-20.",
LaybournParry1980,"Laybourn-Parry, J., and I. M. Strachan. 1980. Respiratory metabolism of Cyclops bicuspidatus (Copepoda: Cyclopoida) from Esthwaite Water, Cumbria. Oecologia",
LeBorgne1982,"Le Borgne, R., 1982. Zooplankton production in the eastern tropical Atlantic Ocean: net growth efficiency and P: B in terms of carbon, nitrogen, and phosphorus. Limnology and Oceanography 27(4): 681–698.",
LeBorgne1986,"Le Borgne, R. and P. Moll. 1986. Growth rates of the salp Thalia democratica in Tikehau atoll (Tuamoto is.). Oceanographie Tropicale, 21,23-29.",
Lebour1931,,
Lebrato2013,,
Lee1971,"Lee, R. F., Hirota, J., and A. M. Barnett. 1971. Distribution and importance of wax esters in marine copepods and other zooplankton . Deep-Sea Research I ",
Lee1973,"Lee, R. F., and J. Hirota. 1973. Wax esters in tropical zooplankton and nekton and the geographical distribution of wax esters in marine copepods. Limnology and Oceanography",
Lee1974a,"Lee, R. F. 1974. Lipids of zooplankton from Bute Inlet, British Columbia. Journal of the Fisheries Research Board of Canada",
Lee1974b,"Lee, R. F. 1974. Lipid composition of the copepod Calanus hyperboreus from the Arctic Ocean Changes with depth and season . Marine Biology ",
Lee1975a,"Lee, R. F. 1975. Lipids of Arctic zooplankton . Comparative Biochemistry and Physiology",
Lee1975b,"Lee, R. F., and A. Barnes. 1975. Lipids in the mesopelagic copepod, Gaussia princeps: wax ester utilization during starvation. Comparative Biochemistry and Physiology ",
Lee2001,"Lee, H.-W., Ikeda, T. and Ban, S.: Metabolism, body composition (C and N) and estimated net growth efficiency of a calanoid copepod Pseudocalanus newmani raised at different temperatures in the laboratory, Plankt. Biol Ecol, 48(2), 114–120, 2001.",
Lee2014,"Lee, D. B., Choi, K. H., Lee, J. S., Lee, S., Park, C. and Shin, H. C.: Use of oxygen microsensors to measure the respiration rates of five dominant copepods and Euphausia crystallorophias furcilia from the Amundsen Sea, West Antarctica, Mar. Freshw. Behav. Physiol., 47(6), 361–371, ",10.1080/10236244.2014.952988
Lehman1980a,"Lehman, J. T. 1980. Release and cycling of nutrients between planktonic algae and herbivores. Limnology and Oceanography",
Lehman1980b,"Lehman, J. T. 1980. Nutrient cycling as an interface between algae and grazers in freshwater communities. American Society of Limnology and Oceanography Special Symposium",
Lehman1993,"Lehman, J. T. and C. E. Caceres. 1993. Food-web responses to species invasion by a predatory invertebrate: Bythotrephes in Lake Michigan. Limnology and Oceanography",
Lenz2012,"Lenz, P. H.: The biogeography and ecology of myelin in marine copepods, J. Plankton Res., 34, 575–589, ",10.1093/plankt/fbs037
Libourel1987,"Libourel Houde, S. E., and M. R. Roman. 1987. Effects of food quality on the functional ingestion response of the copepod Acartia tonsa. Marine Ecology Progress Series",
Licandro2017,"Licandro, P and Lindsay, D. J. 2017. Ctenophora. In: Marine Plankton (eds Castellani C and Edwards M). Oxford University Press.",
Licandro2017b,"Licandro, P., Carre, C. and Lindsay, D. J. 2017. Cnidaria: Colonial Hydrozoa (Siphonophorae). In: Marine Plankton (eds Castellani C and Edwards M). Oxford University Press.",
Licandro2017c,"Licandro, P., Fischer, A. and Lindsay, D. J. 2017. Cnidaria: Scyphozoa and Non-colonial Hydrozoa. In: Marine Plankton (eds Castellani C and Edwards M). Oxford University Press.",
Licandro2017d,"Licandro, P., and Brunetta, M. 2017. Chordata: Thaliacea. In: Marine Plankton (eds Castellani C and Edwards M). Oxford University Press.",
Lindley1997,"Lindley, J. A., John, A. W. G., and D. B. Robins. 1997. Dry weight, carbon and nitrogen content of some calanoid copepods from the seas around southern Britain in winter. Journal of the Marine Biological Association of the United Kingdom",
Lindley2017,"Lindley, A. J., 2017. Crustacea: Euphausiacea. In: Marine Plankton (eds Castellani C and Edwards M). Oxford University Press.",
Lindsay2003,"Lindsay, D. J. 2003. Carbon and nitrogen contents of mesopelagic organisms: Results from Sagami Bay, Japan . Deep-Sea Research I",
Lindsay2008,"Lindsay, D., Pagès, F., Corbera, J., Miyake, H., Hunt, J.C., Ichikawa, T., Segawa, K. and Yoshida, H., 2008. The anthomedusan fauna of the Japan Trench: preliminary results from in situ surveys with manned and unmanned vehicles. Journal of the Marine Biological Association of the United Kingdom, 88(8), pp.1519-1539.",10.1017/S0025315408002051
Lischka2017,"Lischka S. and Ossenbrugger, H. 2017. Mollusca: Holoplanktonic Gastropods. In: Marine Plankton (eds Castellani C and Edwards M). Oxford University Press.",
Littleford1939,"Littleford R. 1939. The life cycle of Dactylometra quinquecirrha, L. Agassiz in the Chesapeake Bay. Biol. Bull. 77(3):368–81",
Liu2002,"Liu, S; Wang, W X (2014): Maximum ingestion and maximum clearance rate of Paracalanus crassirostris determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.835080",10.1594/PANGAEA.835080
Liu2015,"Liu, C.S., Chen, S.Q., Zhuang, Z.M., Yan, J.P., Liu, C.L. and Cui, H.T., 2015. Potential of utilizing jellyfish as food in culturing Pampus argenteus juveniles. Hydrobiologia, 754(1), pp.189-200.",
Lo2004,"Lo W., Shih C.-T. and Hwang J. (2004) Copepod assemblages and diel vertical migration in the East China Sea, north of Taiwan. Crustaceana, 77(8), 955-971.",
Lockhead1968,"Lockhead, J.H., 1968. The feeding and swimming of Conchoecia (crustacean, ostracoda). Biol. Bull. 134, 456-464.",
Logan1978a,"Logan, D T; Epifano, C E (2014): Growth rate of Homarus americanus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834481",10.1594/PANGAEA.834481
Logan1978b,"Logan DT, Epifano CE (1978) A laboratory energy balance for the larvae and juveniles of the American lobster Homarus americanus. Mar Biol 47: 381-389",
Lombard2011,"Lombard F., Selander E., Kiørboe T. (2011) Active prey rejection in the filter-feeding appendicularian Oikopleura dioica. Limnol. Oceanogr. 56, 1504-1512.",
Longhurst1972,"Longhurst, A.R., Selbert, D.L.R. (1972) Oceanic distribution of Evadne in the eastern Pacific. Crustaceana 22, 239-248.",
Longhurst1979,"Longhurst A. and Williams R. (1979) Materials for plankton modelling: vertical distribution of Atlantic zooplankton in summer. Journal of Plankton Research, 1(1), 1-28.",
Lopez1993,"Lopez, M., Huntley, M. and Lovette, J.: Calanoides acutus in Gerlache Strait, Antarctica. I. Distribution of late copepodite stages and reproduction during spring, Mar. Ecol. Prog. Ser., 100, 153–165, 1993.",
Love2005,"Love, M.S.; Mecklenburg, C.W.; Mecklenburg, T.A.; Thorsteinson, L.K. (2005). Resource Inventory of Marine and Estuarine Fishes of the West Coast and Alaska: A Checklist of North Pacific and Arctic Ocean Species from Baja California to the Alaska-Yukon Border. U.S. Department of the Interior, U.S. Geological Survey, Biological Resounces Division, Seattle, Washington, 98104.",
Lucas1994,,
Lucas1998,"Lucas CH, Lawes S. 1998. Sexual reproduction of the scyphomedusa Aurelia aurita in relation to temperature and variable food supply. Mar. Biol. 131(4):629–38",
Lucas2009,,
Lucas2011,"Lucas, C. H., K. A. Pitt, J. E. Purcell, M. Lebrato, and R. H. Condon. 2011. What’s in a jellyfish? Proximate and elemental composition and biometric relationships for use in biogeochemical studies. Ecology 92: 1704.",
Ludwig1977,,
Luskow2021,"Lüskow, F., Galbraith, M.D., Hunt, B.P., Perry, R.I. and Pakhomov, E.A., 2021. Gelatinous and soft-bodied zooplankton in the Northeast Pacific Ocean: organic, elemental, and energy contents. Marine Ecology Progress Series, 665, pp.19-35.",10.3354/meps13663
Luskow2022,"Lüskow, F., Galbraith, M.D., Hunt, B.P., Perry, R.I., Boersma, M. and Pakhomov, E.A., 2022. Gelatinous and soft-bodied zooplankton in the Northeast Pacific Ocean: Phosphorus content and potential resilience to phosphorus limitation. Hydrobiologia, 849(7), pp.1543-1557.",10.1007/s10750-021-04758-9
Lutcavage1986,,
Lynch1980,"Lynch, M. 1980.  The evolution of cladoceran life histories. Quarterly Review of Biology",
MSIP2022,http://species-identification.org/index.php,
Maar2006,"Maar M., Visser A., Nielsen T.G., Stips A. and Saito H. (2006) Turbulence and feeding behaviour affect the vertical distributions of Oithona similis and Microsetella norvegica. Marine Ecology Progress Series, 313, 157-172.",
Maas2012,"Mass, A.E., Wishner, K.F., and Seibel, B.A. 2012. Metabolic suppression in thecosomatous pteropods as an effect of low temperature and hypoxia in the eastern tropical North Pacific. Marine Biology 159: 1955-1967.",
Macdonald2010,"Macdonald, T.A., Burd, B.J., Macdonald, V.I., Roodselaar, A.V., 2010. Taxonomic and Feeding Guild Classification for the Marine Benthic Macroinvertebrates of the Strait of Georgia, British Columbia. Can. Tech. Rep. Fish. Aqua. Sci. 2874, 1-63.",
MachovskyCapuska2020,"Machovsky-Capuska, G.E. and Raubenheimer, D., 2020. The nutritional ecology of marine apex predators. Annual Review of Marine Science, 12, pp.361-387.",10.1146/annurev-marine-010318-095411
Mackas2002,"Mackas, D.L. and Galbraith, M.D. (2002) Zooplankton distribution and dynamics in a North Pacific eddy of coastal origin: I. Transport and loss of continental margin species. Journal of Oceanography 58, 725–738.",
Mackas2005,"Mackas, D.L., Tsurumi, M., Galbraith, M.D., Yelland, D.R., 2005. Zooplankton distribution and dynamics in a North Pacific Eddy of coastal origin: II. Mechanisms of eddy colonization by and retention of offshore species. Deep-Sea Res II. 52, 1011-1035.",
Mackie1991,"Mackie, G.O., 1991, June. Propagation of bioluminescence in Euphysa japonica hydromedusae,(Tubulariidae). In Hydrobiologia (Vol. 216, No. 1, pp. 581-588). Kluwer Academic Publishers.",10.1007/BF00026516
Macy1998,"Macy, William K; Sutherland, Sandra J; Durbin, Edward G (2014): Maximum ingestion and maximum clearance rate of Scomber scombrus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.835083",10.1594/PANGAEA.835083
Madin1977,"Madin, L.P. and Harbison, G.R. 1977. The associations of Amphipoda Hyperiidea with gelatinous zooplankton - I. Associations with Salpidae. Deep-Sea Research 24: 449-463.",
Madin1978,,
Madin1980,"Madin, L.P. and Cetta, C.M. 1980. Estimating in situ grazing rates of salps from plant pigments in the gut. Abstract, Aslo Third winter meeting, Seattle, WA.",
Madin1981,"Madin, L.P., Cetta, C.M. and McAlister, V.L., 1981. Elemental and biochemical composition of salps (Tunicata: Thaliacea). Marine Biology, 63, pp.217-226.",10.1007/BF00395990
Madin1982,"Madin, L.P. 1982. Production, composition and sedimentation of salp fecal pellets in oceanic waters. Marine Biology, 67, 39-45.",
Madin1984,"Madin, L.P. and Cetta, C.M. 1984. The use of gut fluorescence to estimate grazing by oceanic salps. Journal of Plankton Research, 6, 475-492.",
Madin1991,"Madin, L.P., 1991. Distribution and taxonomy of zooplankton in the Alboran Sea and adjacent western Mediterranean: a literature survey and field guide.",10.1575/1912/954
Madin1992,,
Madin1992a,"Madin, L P; Purcell, Jennifer E (2014): Maximum ingestion and maximum clearance rate of Cyclosalpa bakeri determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.835085",10.1594/PANGAEA.835085
Madin1992b,"Madin, L P; Purcell, Jennifer E (2014): Respiration rate of Cyclosalpa bakeri determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833938",10.1594/PANGAEA.833938
Madin1992c,"Madin, L.P. and Purcell, J.E. 1992. Feeding, metabolism, and growth of Cyclosalpa bakeri in the subarctic Pacific. Limnology and Oceanography, 37, 1236-1251.",
Madin1995,"Madin, L P; Kremer, Patricia (2014): Maximum ingestion and maximum clearance rate of Salpa fusiformes and Salpa cylindrica determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.835084",10.1594/PANGAEA.835084
Madin1998,"Madin, L.P., 1988. Feeding behavior of tentaculate predators: in situ observations and a conceptual model. Bulletin of Marine Science, 43(3), pp.413-429.",
MadinUnpub,,
Malej1982,"Malej, A. 1982. Unusual occurrence of Pelagia noctiluca in the Adriatic I. Some notes on the biology of Pelagia noctiluca in the Gulf of Trieste. Acta Adriatica, 23, 91-102 (in Serbo-Croat).",
Malej1993,"Malej, A., J. Faganeli & J. Pezdic, 1993. Stable isotope and biochemical fractionation in the marine pelagic food chain: the jellyfish Pelagia noctiluca and net zooplankton. Marine Biology 116(4): 565–570.",
Malej2009,"Malej, A., V. Turk, T. Kogovšek, T. Makovec, V. Onofrri, L. Chiaverano, T. Tinta, V. Flander-Putrle & D. Lučić, 2009. Aurelia sp. 5 (Scyphozoa) population in the Mljet Lake (the southern Adriatic): trophic interactions and link to microbial food web. Annales Series Historia Naturalis 19: 49–58.",
Malt1983,"Malt, S. J.: Copepoda, Oncaea, Fiches d’Identification du Zooplanct., 169/170/17, 1–11, 1983.",
Malzahn2010,"Malzahn, A. M., F. Hantzsche, K. L. Schoo, M. Boermsa & N. Aberle, 2010. Differential effects of nutrient-limited primary production on primary, secondary or tertiary consumers. Oecologia 162: 35–48.",
Maps2013,"Maps, F., Runge, J. A., Leising, A., Pershing, A. J., Record, N. R., Plourde, S., & Pierson, J. J. (2012). Modelling the timing and duration of dormancyin populations of Calanus finmarchicus from the Northwest Atlantic shelf. Journal of Plankton Research, 34(1), 36–54.",10.1093/plankt/fbr088
Mapstone1992,"Mapstone, G.M., Arai, M.N., 1992. Abundance and vertical distribution of siphonophores (Cnidaria) from the central Strait of Georgia, British Columbia, during spring and summer. Contributions to Natural Science 15: 1–8.",
Mapstone2009,"Mapstone, G.M. and Arai, M.N., 2009. Siphonophora (Cnidaria: Hydrozoa) of Canadian Pacific waters. NRC Research Press.",
Mapstone2014,"Mapstone, G.M., 2014. Global diversity and review of Siphonophorae (Cnidaria: Hydrozoa). PLoS One, 9(2), p.e87737.",10.1371/journal.pone.0087737
Margulies1986,"Margulies, D (2014): Growth rate of Morone americana determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834482",10.1594/PANGAEA.834482
MarineSpeciesPortal,Marine Species Identification portal. Available from http://species-identification.org/index.php.,
Marinho2002,"Marinho da Costa, Rauquirio; FernÃ¡ndez, Felipe (2014): Maximum ingestion and maximum clearance rate of Acartia grani and Euterpina acutifrons determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834798",10.1594/PANGAEA.834798
Marshall1973,"Marshall, S. M. (1973). Respiration and Feeding in Copepods. In F. S. Russell & M. Yonge (Eds.), Advances in Marine Biology (Vol. 11, pp. 57-120): Academic Press.",
Martin1988,"Martin LK, Cailliet GM. 1988. Aspects of the Reproduction of the Bat Ray , in Central California californica ,. Copeia. 1988(3):754–62",
Martin2006,"Martin S, et al. (2006) Respiration, calcification, and excretion of the invasive slipper limpet, Crepidula fornicata L.: Implications for carbon, carbonate, and nitrogen fluxes in affected areas. Limnol. Oceanogr. 5:1996-2007.",
Martinez2007,"Martinez, Javiera (2014): Growth rate of Pleurobrachia pileus determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834483",10.1594/PANGAEA.834483
Martinussen1999,,
Martynova2011,"Martynova, D. M., Kazus, N. A., Bathmann, U. V., Graeve, M., & Sukhotin, A. A. (2011). Seasonal abundance and feeding patterns of copepods Temora longicornis, Centropages hamatus and Acartia spp. in the White Sea (66°N). Polar Biology, 34(8), 1175-1195. ",10.1007/s00300-011-0980-7
Massy1917,,
Masuda1984,"Masuda, H.; Amaoka, K.; Araga, C.; Uyeno, T.; Yoshino, T. (1984). The fishes of the Japanese Archipelago. Vol. 1. Tokai University Press, Tokyo, Japan. 437 p. (text).",
Mather1995,"Mather ME, Vanni MJ, Wissing TE, Davis SA, Schaus MH (1995) Regeneration of nitrogen and phosphorus by bluegill and gizzard shad: Effect of feeding history. Can. J. Fish. Aquat. Sci. 52:2327-2338.",
Matsakis1989,"Matsakis, S., Nival, P. (1989) Elemental composition and food intake of Phialidium hydromedusae in the laboratory. J Exp Mar Biol Ecol 130: 277-290",
Matsakis1991,"Matsakis, S. and Conover, R.J., 1991. Abundance and feeding of medusae and their potential impact as predators on other zooplankton in Bedford Basin (Nova Scotia, Canada) during spring. Canadian Journal of Fisheries and Aquatic Sciences, 48(8), pp.1419-1430.",10.1139/f91-169
Matsuura2010,"Matsuura, H., Nishida, S., & Nishikawa, J. (2010). Species diversity and vertical distribution of the deep-sea copepods of the genus Euaugaptilus in the Sulu and Celebes Seas. Deep Sea Research Part II: Topical Studies in Oceanography, 57(24), 2098-2109. ",https://doi.org/10.1016/j.dsr2.2010.09.013
Mauchline1969,"Mauchline, J., Fisher, L.R., 1969. The biology of Euphausiids. Adv. Mar. Biol. 7, 1-391.",
Mauchline1977,"Mauchline, J.; Murano, M. (1977). World list of the Mysidacea, Crustacea. J. Tokyo Univ. Fish. 64 (1): 39-88.",
Mauchline1980,"Mauchline, J., 1980. The biology of mysids and euphausiids. Adv Mar Biol, 18, pp.1-677.",
Mauchline1984,"Mauchline, J. (1984). Euphausiid, stomatopod and leptostracan crustaceans: keys and notes for the identification of the species. Synopses of the British fauna (new series), 30. E.J. Brill; W. Backhuys: London, UK. ISBN 90-04-07471-6. vii, 91 pp.",
Mauchline1988,Mauchline J. 1988. Egg and brood sizes of oceanic pelagic crustaceans. Mar. Ecol. Prog. Ser. 43:251–58,
Mauchline1998,"Mauchline, J., 1998. The biology of Calanoid Copepods. Adv. Mar. Biol. 33, 1-530. Eds: Blaxter, J.H.S., Southward, A.J., and Tyler, P.A., Academic press. 463 pp.",
Mauchline1998 ,"Mauchline, J., 1998. The biology of Calanoid Copepods. Adv. Mar. Biol. 33, 1-530. Eds: Blaxter, J.H.S., Southward, A.J., and Tyler, P.A., Academic press. 463 pp.",
Mauchline1999,"Mauchline, J.: Copepoda. Sub-order: Calanoida, Family: Euchaetidae, Genus: Euchaeta, Int. Counc. Explor. Sea. ICES Identif. Leafl. Plankt., 182, 1–10, 1999.",
May1971,"May, Robert C (2014): Growth rate of Leuresthes tenuis determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834484",10.1594/PANGAEA.834484
Mayzaud1975,"Mayzaud, P., and J. L. M. Martin. 1975. Some aspects of the biochemical and mineral composition of marine plankton . Journal of Experimental Marine Biology and Ecology ",
Mayzaud1976a,"Mayzaud, P. 1976. The occurrence and distribution of octadecapentaenoic acid in a natural plankton population - A possible food chain index . Lipids",
Mayzaud1976b,"Mayzaud, P. 1976. Respiration and nitrogen excretion of zooplankton. IV. The influence of starvation on the metabolism and the biochemical composition of some species . Marine Biology ",
Mayzaud2002,"Mayzaud, P., Razouls, S., Errhif, A., Tirelli, V. and Labat, J.: Feeding, respiration and egg production rates of copepods during austral spring in the Indian sector of the Antarctic Ocean: role of the zooplankton community in carbon transformation, Deep Sea Res. Part I Oceanogr. Res. Pap., 49(6), 1027–1048, ",10.1016/S0967-0637(02)00012-2
Mayzaud2005a,"Mayzaud, P., Boutoute, M., Gasparini, S., Mousseau, L. and Lefevre, D.: Respiration in marine zooplankton-the other side of the coin: CO 2 production, Limnol. Oceanogr., 50(1), 291–298, ",10.4319/lo.2005.50.1.0291
Mayzaud2005b,"Mayzaud, Patrick; Boutoute, Marc; Gasparini, StÃ©phane; Mousseau, Laure; LefÃ¨vre, Dominique (2014): Respiration rate of zooplankton determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833962",10.1594/PANGAEA.833962
Mayzaud2007,"Mayzaud, P., Laureillard, J., Merien, D., Brinis, A., Godard, C., Razouls, S., & Labat, J. P. (2007). Zooplankton nutrition, storage and fecal lipid composition in different water masses associated with the Agulhas and Subtropical Fronts. Marine Chemistry, 107(2), 202-213. ",https://doi.org/10.1016/j.marchem.2007.07.001
Mazzocchi1999,"Mazzocchi, M. G. and Paffenhöfer, G. A.: Swimming and feeding behaviour of the planktonic copepod Clausocalanus furcatus, J. Plankton Res., 21(8), 1501–1518, ",10.1093/plankt/21.8.1501
McCauley1984,"McCauley, E. 1984. The estimation of the abundance and biomass of zooplankton in samples. A manual on methods for the assessment of secondary production in fresh waters",
McClatchie1985,"McClatchie, S (2014): Maximum ingestion and maximum clearance rate of Meganyctiphanes norvegica determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.835086",10.1594/PANGAEA.835086
