referenceCode,fullCitation,referenceDOI
Atkinson1997,"Atkinson, Angus; Snyder, R (2014): Maximum ingestion and maximum clearance rate of Euphausia superba determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834707",10.1594/PANGAEA.834707
Atkinson2002,"Atkinson, Angus; Meyer, Bettina; StÃ¼bing, Dorothea; Hagen, Wilhelm; Schmidt, Katrin; Bathmann, Ulrich (2014): Maximum ingestion and maximum clearance rate of Euphausia superba determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834704",10.1594/PANGAEA.834704
Attayde1999,"Attayde, J. L., and L. A. Hansson. 1999. Effects of nutrient recycling by zooplankton and fish on phytoplankton communities. Oecologia",
Attwood1989,"Attwood, C. G., and W. T. Peterson. 1989. Reduction in fecundity and lipids of the copepod Calanus australis (Brodskii) by strongly pulsed upwelling . Journal of Experimental Marine Biology and Ecology",
Auel2002,"Auel H. and Hagen W. (2002) Mesozooplankton community structure, abundance and biomass in the central Arctic Ocean. Marine Biology, 140(5), 1013-1021.",
Auel2003a,"Auel, H., Klages, M., and I. Werner. 2003. Respiration and lipid content of the Arctic copepod Calanus hyperboreus overwintering 1 m above the seafloor at 2,300 m water depth in the Fram Strait. Marine Biology ",
Auel2003b,"Auel, Holger; Werner, Iris (2014): Respiration rate of Themisto libellula determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.833782",10.1594/PANGAEA.833782
Auel2005,,
AusMarZoop,Australian Marine Zooplankton: A taxonomic guide and atlas. Available from http://www.imas.utas.edu.au/zooplankton/.,
Bailey1986,"Bailey, K M; Stehr, Caron L (2014): Growth rate of Theragra chalcogramma determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834268",10.1594/PANGAEA.834268
Bailey1994a,"Bailey, T.G., Youngbluth, M.J., and Owen, G.P. 1994. Chemical composition and oxygen consumption rates of the ctenophore Bolinopsis infundibulum from the Gulf of Maine. Journal of Plankton Research 16: 673-689.",
Bailey1994b,"Bailey, T.G., Torres, J.J., Youngbluth, M.J., and Owen, G.P. 1994. Effect of decompression on mesopelagic gelatinous zooplankton: a comparison of in situ and shipboard measurements of metabolism. Marine Ecology Progress Series 113: 13-27.",
Bailey1995,"Bailey, T.G., Youngbluth, M.J. and Owen, G.P., 1995. Chemical composition and metabolic rates of gelatinous zooplankton from midwater and benthic boundary layer environments off Cape Hatteras, North Carolina, USA. Marine Ecology Progress Series, 122, pp.121-134.",10.3354/meps122121
Baker1977,"Baker JH. 1977. Life history patterns of the myodocopid ostracod euphilomedes producta poulsen. Asp. Ecol. zoogeography Recent Foss. ostracoda, p. 245",
Balino1993,"Baliño, B.M. and Aksnes, D.L., 1993. Winter distribution and migration of the sound scattering layers, zooplankton and micronekton in Masfjorden, western Norway. Marine Ecology-Progress Series, 102, pp.35-35.",
Ballard1996,"Ballard, L., & Myers, A. 1996. Seasonal changes in the vertical distribution of five species of the family Bougainvillidae (Cnidaria: Anthomedusae) at Lough Hyne, southwest Ireland. In Advances in Hydrozoan Biollogy. Piraino, S., Boero, F., Bouillon, J., Cornelius, P.F.S., and J-M. Gili (Eds). Scientia Mar., Barcelona 60: 69-74.",
Bamstedt1975,"Bamstedt, U., and J. B. L. Matthews. 1975. The weight and biochemical composition of Euchaeta norvegica (Boeck) in relation to its life cycle . Studies of the deep-water pelagic community of Korsfjorden, western Norway",
Bamstedt1976,,
Bamstedt1978,"Bamstedt, U. 1978. Studies on the deep-water pelagic community of Korsfjorden, western Norway Seasonal variation in weight and biochemical composition of Chiridius armatus (Copepoda), Boreomysis arctica (Mysidacea), and Eukrohnia hamata (Chaetognatha) in relation to their biology . Sarsia",
Bamstedt1978b,,
Bamstedt1981,"Båmstedt, U., 1981. Water and organic content of boreal macrozooplankton and their significance for the energy content. Sarsia, 66(1), pp.59-66.",10.1080/00364827.1981.10414521
Bamstedt1983,"Bamstedt, U. 1983. RNA concentration in zooplankton: seasonal variation in boreal species . Marine Ecology Progress Series ",
Bamstedt1984,"Bamstedt, U., and A. Ervik. 1984. Local variations in size and activity among Calanus finmarchicus and Metridia longa (Copepoda, Calanoida) overwintering on the west coast of Norway . Journal of Plankton Research ",
Bamstedt1985a,"Bamstedt, U., and K. S. Tande. 1985. Respiration and excretion rates of Calanus glacialis in arctic waters of the Barents Sea . Marine Biology",
Bamstedt1985b,"Bamstedt, U. 1985. Seasonal excretion rates of macrozooplankton from the Swedish west coast. Limnology and Oceanography ",
Bamstedt1990,"Bamstedt, U., Hakanson, J. L., Brenner-Parsen, J., Bj�rnsen P. K., Geertz-Hansen O., and P. Tiselius. 1990. Copepod nutrition and pelagic production during autumn in Kosterfjorden, western Sweden . Marine Biology ",
Bamstedt1999a,"Bamstedt, Ulf; Lane, J; Martinussen, M B (2014): Growth rate of Aurelia aurita determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834273",10.1594/PANGAEA.834273
Bamstedt1999b,"Bamstedt U, Lane J, Martinussen MB (1999) Bioenergetics of ephyrae larvae of the scyphozoan jellyfish Aurelia aurita in relation to temperature and salinity. Mar Biol 135: 89-98",
Bamstedt2001a,"Bamstedt, Ulf; Wild, B; Martinussen, M B (2014): Growth rate of Aurelia aurita determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834269",10.1594/PANGAEA.834269
Bamstedt2001b,"Bamstedt U, Wild B, Martinussen MB (2001) Significance of food type for growth of ephyrae Aurelia aurita (Scyphozoa). Mar Biol 13(: 641-650",
BarahonaFernandes1977,"Barahona-Fernandes, Maria Helena; Girin, Michel (2014): Growth rate of Sea-Bass larvae determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834271",10.1594/PANGAEA.834271
Bargu2003,"Bargu, Sibel; Marinovic, Baldo; Mansergh, Sarah; Silver, Mary W (2014): Maximum ingestion and maximum clearance rate of Euphausia pacificus and Tysanoessa spinifera determined experimentally. PANGAEA, https://doi.org/10.1594/PANGAEA.834709",10.1594/PANGAEA.834709
Barlow1965,"Barlow JP, Bishop JW (1965) Phosphate regeneration by zooplankton in Cayuga Lake. Limnol. Oceanogr. 10:R15-R24.",
Barnett2007,"Barnett, A. J., Finlay, K., and B. E. Beisner. 2007. Functional diversity of crustacean zooplankton communities: towards a trait-based classification. Freshwater Biology",
Barton2013,"Barton, A. D., Pershing, A. J., Litchman, E., Record, N. R., Edwards, K. F., Finkel, Z. V, Kiørboe, T. and Ward, B. A.: The biogeography of marine plankton traits., Ecol. Lett., 16(4), 522–534, ",10.1111/ele.12063
Bascheri1968,"Bascheri, M. C., and J. Mazza. 1968. Contribution a l'etude biochimique du plancton. II. Variation des teneurs en glucides et en proteines des Copepodes du golfe de Marseille . Rapport de r�union de la Commission Internationale pour l?Exploration Scientifique de la Mer M�diterran�e. ",
