traitBucket,traitNum,trait,traitID,traitName,traitUnit,verbatimTraitName,verbatimTraitUnit,valueType
physiological,26,respiration rate,94,respirationRate,ul O2 h^-1,Mean,ul O2 h-1,numeric
physiological,26,respiration rate,94,respirationRate,ul O2 h^-1,Respiration.rt.ind,ul O2 ind-1 h-1,numeric
physiological,26,respiration rate,95,respirationRate_Max,ul O2 h^-1,Maximum,ul O2 h-1,numeric
physiological,26,respiration rate,96,respirationRate_Min,ul O2 h^-1,Minimum,ul O2 h-1,numeric
physiological,26,respiration rate,97,respirationRate_WSC,ul O2 mg C^-1 h^-1,Mean,ul O2 h-1 mg C-1,numeric
physiological,26,respiration rate,97,respirationRate_WSC,ul O2 mg C^-1 h^-1,respiration_mgC_Mean,ulO2 mg C-1 h-1,numeric
physiological,26,respiration rate,97,respirationRate_WSC,ul O2 mg C^-1 h^-1,respiration_mgC_Mean,umol O2 mg C-1 h-1,numeric
physiological,26,respiration rate,98,respirationRate_WSDW,ul O2 mg DW^-1 h^-1,respiration_mgDM_Mean,ulO2 mg DM-1 h-1,numeric
physiological,26,respiration rate,98,respirationRate_WSDW,ul O2 mg DW^-1 h^-1,Mean,ul O2 h-1 mg DW-1,numeric
physiological,26,respiration rate,98,respirationRate_WSDW,ul O2 mg DW^-1 h^-1,Respiration.rt.mg,ul O2 mg DM-1 h-1,numeric
physiological,26,respiration rate,99,respirationRate_WSDW_Max,ul O2 mg DW^-1 h^-1,Maximum,ul O2 h-1 mg DW-1,numeric
physiological,26,respiration rate,99,respirationRate_WSDW_Max,ul O2 mg DW^-1 h^-1,Max.resp.mg,ul O2 mg DM-1 h-1,numeric
physiological,26,respiration rate,100,respirationRate_WSDW_Min,ul O2 mg DW^-1 h^-1,Minimum,ul O2 h-1 mg DW-1,numeric
physiological,26,respiration rate,100,respirationRate_WSDW_Min,ul O2 mg DW^-1 h^-1,Min.resp.mg,ul O2 mg DM-1 h-1,numeric
physiological,26,respiration rate,101,respirationRate_WSWW,ul O2 mg WW^-1 h^-1,respiration_mgWM_Mean,ulO2 mg WM-1 h-1,numeric
physiological,26,respiration rate,102,respirationRate_WSProtein,ul O2 mg protein^-1 h^-1,respiration_mgProtein_Mean,ml O2/mg protein/hr,numeric
physiological,26,respiration rate,103,respirationRate_15C,ul O2 h^-1,,,numeric
physiological,26,respiration rate,103,respirationRate_15C,ul O2 h^-1,Resp.O2/ind.[ul/#/h],ul O2 h-1,numeric
physiological,26,respiration rate,104,respirationRate_WSDW_15C,ul O2 mg DW^-1 h^-1,,,numeric
physiological,26,respiration rate,104,respirationRate_WSDW_15C,ul O2 mg DW^-1 h^-1,Specific.respiration.at.15.°C,ul O2 h-1 mg DW-1,numeric
physiological,26,respiration rate,105,respirationRate_WSWW_15C,ul O2 mg WW^-1 h^-1,,,numeric
physiological,26,respiration rate,106,respirationRate_WSProtein_15C,ul O2 mg protein^-1 h^-1,,,numeric
physiological,26,respiration rate,107,respirationRate_WSC_15C,ul O2 mg C^-1 h^-1,Specific.respiration.at.15.°C,ul O2 h-1 mg C-1,numeric
physiological,26,respiration rate,107,respirationRate_WSC_15C,ul O2 mg C^-1 h^-1,Resp.O2/C.biom.[ul/mg/h],ul O2 mg C-1 h-1,numeric
physiological,27,excretion rate N,108,excretionRateN,ug N-NH4+ h^-1,N.ammonia.ex.rt.nmol.ind,nmol N-NH4+ ind-1 h-1,numeric
physiological,27,excretion rate N,108,excretionRateN,ug N-NH4+ h^-1,N.ammonia.ex.rt.ug.ind,ug N-NH4+ ind-1 h-1,numeric
physiological,27,excretion rate N,108,excretionRateN,ug N-NH4+ h^-1,N.excretion.rate..ug.N.ind.h.,µg N ind-1 h-1,numeric
physiological,27,excretion rate N,109,excretionRateN_Max,ug N-NH4+ h^-1,Max.Nex.rt.nmol.ind,nmol N-NH4+ ind-1 h-1,numeric
physiological,27,excretion rate N,110,excretionRateN_Min,ug N-NH4+ h^-1,Min.Nex.rt.nmol.ind,nmol N-NH4+ ind-1 h-1,numeric
physiological,27,excretion rate N,111,excretionRateN_WSDW,ug N-NH4+ mg DW^-1 h^-1,N.ammonia.ex.rt.nmol.dm,nmol N-NH4+ mg DM-1 h-1,numeric
physiological,27,excretion rate N,111,excretionRateN_WSDW,ug N-NH4+ mg DW^-1 h^-1,N.ammonia.ex.rt.ug.dm,ug N-NH4+ mg DM-1 h-1,numeric
physiological,27,excretion rate N,112,excretionRateN_WSDW_Max,ug N-NH4+ mg DW^-1 h^-1,Max.Nex.rt.ug.dm,ug N-NH4+ mg DM-1 h-1,numeric
physiological,27,excretion rate N,113,excretionRateN_WSDW_Min,ug N-NH4+ mg DW^-1 h^-1,Min.Nex.rt.ug.dm,ug N-NH4+ mg DM-1 h-1,numeric
physiological,27,excretion rate N,114,excretionRateN_WSC,ug N-NH4+ mg C^-1 h^-1,excretion_N_mg_Mean,umol N-NH4+/mg C/hour,numeric
physiological,27,excretion rate N,115,excretionRateN_15C,ug N-NH4+ h^-1,,,numeric
physiological,27,excretion rate N,116,excretionRateN_WSDW_15C,ug N-NH4+ mg DW^-1 h^-1,,,numeric
physiological,28,excretion rate P,117,excretionRateN_WSProtein,ug N-NH4+ mg protein^-1 h^-1,excretion_N_protein_Mean,ug N-NH4+/mg protein/hr,numeric
physiological,28,excretion rate P,118,excretionRateP,ug P-PO43- h^-1,P.phosphate.ex.rt.nmol.ind,nmol P-PO43- ind-1 h-1,numeric
physiological,28,excretion rate P,118,excretionRateP,ug P-PO43- h^-1,P.phosphate.ex.rt.ug.ind,ug P-PO43- ind-1 h-1,numeric
physiological,28,excretion rate P,118,excretionRateP,ug P-PO43- h^-1,P.excretion.rate..ug.P.ind.h.,µg P ind-1 h-1,numeric
physiological,28,excretion rate P,119,excretionRateP_Max,ug P-PO43- h^-1,Max.Pex.rt.nmol.ind,nmol P-PO43- ind-1 h-1,numeric
physiological,28,excretion rate P,120,excretionRateP_Min,ug P-PO43- h^-1,Min.Pex.rt.nmol.ind,nmol P-PO43- ind-1 h-1,numeric
physiological,28,excretion rate P,121,excretionRateP_WSDW,ug P-PO43- mg DW^-1 h^-1,P.phosphate.ex.rt.nmol.dm,nmol P-PO43- mg DM-1 h-1,numeric
physiological,28,excretion rate P,122,excretionRateP_15C,ug P-PO43- h^-1,,,numeric
physiological,28,excretion rate P,123,excretionRateP_WSDW_15C,ug P-PO43- mg DW^-1 h^-1,,,numeric
physiological,29,egestion rate,124,egestionRate,% mg C h^-1,egestion_perC,% body C/hour,numeric
physiological,29,egestion rate,125,egestionRate_WSC,ug faecal C mg C^-1 h^-1,egestion_mg_Mean,ug faecal C / mg body C / h,numeric
physiological,29,egestion rate,126,egestionRate_WSC_Max,ug faecal C mg C^-1 h^-1,egestion_mg_Max,ug faecal C / mg body C / h,numeric
physiological,29,egestion rate,127,egestionRate_WSC_Min,ug faecal C mg C^-1 h^-1,egestion_mg_Min,ug faecal C / mg body C / h,numeric
physiological,30,growth rate,128,growthRate,mg C h^-1,g.(d-1),mg C d-1,numeric
physiological,30,growth rate,128,growthRate,mg C h^-1,Growth,mg C/h,numeric
physiological,30,growth rate,128,growthRate,mg C h^-1,growth_mm,mm/month,numeric
physiological,30,growth rate,129,growthRate_WSC,mg C mg C^-1 h^-1,"Mass.corrected.growth.rate.(g,.d-1)",mg C mg C-1 d-1,numeric
physiological,30,growth rate,129,growthRate_WSC,mg C mg C^-1 h^-1,Specific.growth,mg C/h/mg C,numeric
physiological,30,growth rate,130,growthRate_15C,mg C h^-1,15C.corrected.growth.rate.g.(d-1),mg C d-1,numeric
physiological,30,growth rate,130,growthRate_15C,mg C h^-1,u.C.per/ind.[mg/#/h],mg C h-1,numeric
physiological,30,growth rate,130,growthRate_15C,mg C h^-1,Growth.(15°C),mg C/h,numeric
physiological,30,growth rate,131,growthRate_WSC_15C,mg C mg C^-1 h^-1,u.C.per.C.biom.[mg/mg/h],mg C mg C-1 h-1,numeric
physiological,30,growth rate,131,growthRate_WSC_15C,mg C mg C^-1 h^-1,Specific.growth.(15°C),mg C/h/mg C,numeric
physiological,30,growth rate,132,growthRatePLength,% mm h^-1,growth_mm_perc,% mm length/hour,numeric
physiological,30,growth rate,132,growthRatePLength,% mm h^-1,growth_mm_perc_Mean,% mm length/hour,numeric
physiological,30,growth rate,133,growthRatePLength_Max,% mm h^-1,growth_mm_perc_Max,% mm length/hour,numeric
physiological,30,growth rate,134,growthRatePLength_Min,% mm h^-1,growth_mm_perc_Min,% mm length/hour,numeric
physiological,30,growth rate,135,growthRatePWeight,% mg C h^-1,,% weight C/hour,numeric
physiological,30,growth rate,136,growthRatePWeight_Max,% mg C h^-1,growth_weightC_Max,% weight C/hour,numeric
physiological,30,growth rate,137,growthRatePWeight_Min,% mg C h^-1,growth_weightC_Min,% weight C/hour,numeric
behavioral,31,feeding mode,138,feedingMode,,feedingMode,,categorical
behavioral,31,feeding mode,138,feedingMode,,Feeding.type,,categorical
behavioral,31,feeding mode,138,feedingMode,,Feeding mode,,categorical
behavioral,31,feeding mode,138,feedingMode,,Feeding.strategy,,categorical
behavioral,31,feeding mode,138,feedingMode,,Feeding.mode,,categorical
behavioral,31,feeding mode,168,FM.passive,,,,binary
behavioral,31,feeding mode,169,FM.active,,,,binary
behavioral,31,feeding mode,170,FM.cruise,,,,binary
behavioral,31,feeding mode,171,FM.current,,,,binary
behavioral,31,feeding mode,172,FM.ambush,,,,binary
